"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115.727546080961","122.798168597391","121.582008742369","133.336048408697","142.028137508323","150.049528852132","166.818393610808","179.725899769762","186.843276550502","195.801303884637","198.329791074832","204.400294301531","201.679717973557","213.635710973654","209.992069953433","213.635563035232","221.963921442754","212.819851732667","210.165098834511","215.075242740149","208.724017001194","217.487365427798","","",
"Afghanistan","AFG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.3965523641741","86.2603357912505","93.9529659861385","105.886760059439","118.306464039859","112.267667410522","137.703508409103","153.543238667827","148.761103454395","147.339169404665","155.383025864167","178.07901916923","202.261555308607","215.725233301209","239.188747458965","264.543988949921","299.787491486803","321.499080608947","322.499309745329","363.611184950015","","",
"Africa Western and Central","AFW","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.0775704794504","79.6144859142261","77.8507211586895","115.836582520124","117.257244736506","121.621288677913","122.920748075501","122.537910943374","125.930677782526","135.724730858712","127.174352960826","133.816600573024","135.463594282143","144.724241434568","151.773051566205","157.407721990713","152.985889462765","155.150581353646","143.320880216861","147.756919081769","160.789883869314","183.882171785992","","",
"Angola","AGO","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.3554965774583","151.035283643198","125.397953931646","135.629990655593","166.825784703481","137.318293155384","143.432498556691","179.362771106327","218.850548269325","247.576320136959","177.515340904917","177.258723614967","177.029478144803","208.895158727336","197.725444156204","189.547860937961","190.657022496049","201.436400287598","182.326688936557","173.143692510886","200.130709340097","198.546308463415","","",
"Albania","ALB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","222.817465594539","247.274308888125","257.919594542488","290.486967720682","316.166335410371","333.711156581221","368.426829269609","430.786400748749","452.628396621735","512.949398126358","600.429175160082","632.131472963031","649.98928438801","666.017654872571","725.737649508303","753.180070470931","811.422040321761","838.41698767324","896.791354129562","981.879024394578","1044.56861679106","1131.6691151472","","",
"Andorra","AND","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1913.58058948824","2017.87777363769","2163.19779742246","2094.24614858663","2108.8639809569","2343.21287139811","2304.46459462997","2491.60523635234","2888.43658390492","3067.25146543563","3878.84226815375","3910.48221580599","3449.1164165381","3445.05828339589","3528.65099653714","3705.34697491463","3577.45327592859","3714.86521282625","4044.91687402188","4098.70463660706","4631.53848508703","4907.77348381542","","",
"Arab World","ARB","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","415.519679056371","453.458004139561","457.966089901321","447.943936056043","463.180931073467","460.962317005003","490.441163341464","525.724280041778","529.80333237605","644.07446600434","609.078838027743","630.302499407665","680.839258782798","756.946607288034","801.91065621698","799.281514990052","871.727654946082","883.747982371096","844.577053113607","868.440928948748","930.755092099301","922.747529987335","","",
"United Arab Emirates","ARE","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2222.56509934782","2296.33368589505","2484.18108179827","2557.24201007677","2556.13867537896","2429.99077458802","2409.73258566987","2350.39142828036","2370.87902715236","2734.09400459755","2537.15187744786","2591.77820503087","2497.08861323793","2657.41648426757","2786.92336535314","2416.0655481766","2682.40736463708","2853.38102066944","3002.58777647683","3281.38232559293","4157.38309592775","4065.61400399455","","",
"Argentina","ARG","Current health expenditure per capita, PPP (current international $)","SH.XPD.CHEX.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1060.86135131933","1044.53923350981","825.856141878806","845.959230716058","879.176489425522","1028.49653044333","1138.15885034497","1293.51913148471","1418.62866433225","1536.57338833571","1693.28200027032","1808.44305508073","1920.12782491183","1960.46583405056","1896.80603394286","2050.68083322739","1997.89109809041","2413.8600637696","2401.31901274169","2346.18668837546","2187.37813848273","2323.07820617451","","",
